text,label
"I knew I'd seen ""Get Out"" before... It was called ""Freaky Friday"" /s",reaction
Obsession isn’t smart. It isn’t layered. It isn’t nuanced. It isn’t commenting on centuries of oppression in an inventive way.,hot_take
"To begin with, sure. But the most telling part for me was when he was on customer support and the CS guy asked Bear if he'd want to cancel his wish and Bear didn't want to at first.",hot_take
"It’s about growth and change and stagnation. The Backrooms is a perfect metaphor for it. It’s Clark. It looks like it’s different than anything you’ve seen before, but then you realize it’s just a bad, rearranged copy of everything that’s ever been. Clark acts like he wants to change, but he never actually does, stewing in his bitterness and blaming everything around him. He is a bad copy of all the worst things about himself, and it’s only until Mary calls him to task, does he finally do something new. Something healing. Letting Mary go. Something the Backroom immediately punishes him for.",hot_take
"I feel like you're implying Phil sounds a little like Clark in the end, but I don't understand what you mean.",hot_take
"There are two ways people use the term ""blockbuster"", one is based purely on metrics. So a movie that makes a ton of money. The second, which I think is the more common one now, is a movie made by a major studio with the specific intention to make a lot of money. 

A lot of people have problems with the second because it's more commerce driven that art driven.",hot_take
"The cinephiles who post here are smart, more cultured, and have better taste than your average person. That means if a movie is popular, it must be bad, because all those average people are stupid slobs who dont appreciate art.",hot_take
"hese are, technically I guess, ""plot holes,"" but focusing on that is to miss the point of the movie, which is: what does it mean to be human. Like, there's no reason at all for replicants to not be obviously artificial: give them green skin or three eyes or some other kind of visually distinct characteristics that mark them as artificial. But again, that's not the point. It's about a society that has deemed a certain class as inhuman, and the morality of that decision, and how it affects the ones charged with enforcing that decision.",analysis
The plot isn’t as tight as the visual elements that’s for sure. But also you may be overthinking it quite a bit. BR is an experience more than it is a tightly written narrative masterpiece. The sequel is a bit tighter in that regard.,hot_take
"Two things stand out. One, it was 1982 and some things just weren't assumed like ""face scanning.""

Also, this film is the final product of a long and messy history. There were many changes, hot fixes, and even edits done that left holes and problems in it.

The strength of the film is that it's so good on other levels you can look past those failings.",hot_take
Love the complexity of your off-the-top-of-your-head explanations.,reaction
"Typically, a monster is the mechanism through which a space becomes scary. Eraserhead, Skinamarink, and the Backrooms seem to reverse this process. The setting itself becomes so terrifying as to make any monsters within it almost secondary. The setting is no longer just where the scary happens-it is the scary itself. Oddly, Eraserhead reads like a prototype; Skinamarink seems to extend this to the ultimate in atmosphere and space as the terror; and Backrooms extends this into an entire mythos where the space is the core source of horror even with monsters there. I find backrooms to be the liminal space horror of the year thus far. Obviously I'm just a fanatic and I don't actively study film theory but I'm curious as to where my correlation thrives and fall short, and are there any movie suggestions that I can watch to further my understanding?",analysis
Inland Empire is one of very few movies that actually scared me,reaction
"I liked The Backrooms pretty well, but I felt it would have been better still if it had the confidence to let the strange space be the monster, rather than pivoting toward more typical monster territory in the back half.",hot_take
"Backrooms did a solid job of reimagining House of Leaves, in live-action format.",hot_take
"I have recurring nightmares about evil rooms. They’re always in old shabby Lynchian houses. Occasionally, I have the opposite dream, where I find myself in an old shabby house, but I’m overjoyed that I found my way back to it. BTW, I love Eraserhead and Skinamarink and I’m going to see Backrooms this weekend",reaction
